SchoolID,SchoolName,Sector,Year,GraduateCnt,SalaryOutlay,TeacherCnt,UndergraduateCnt,Cohort
163912,St. Mary's College of Maryland,1,2012,32,10524490,150,1901,Peers
163912,St. Mary's College of Maryland,1,2013,39,10729238,153,1819,Peers
163912,St. Mary's College of Maryland,1,2014,33,10732381,147,1688,Peers
163912,St. Mary's College of Maryland,1,2015,27,10491780,146,1708,Peers
163912,St. Mary's College of Maryland,1,2016,31,10523756,143,1598,Peers
163912,St. Mary's College of Maryland,1,2017,28,10861455,144,1545,Peers
163912,St. Mary's College of Maryland,1,2018,30,10533505,142,1552,Peers
163912,St. Mary's College of Maryland,1,2019,22,10543498,134,1467,Peers
163912,St. Mary's College of Maryland,1,2020,22,10401335,131,1486,Peers
163912,St. Mary's College of Maryland,1,2021,25,9698325,120,1519,Peers
163912,St. Mary's College of Maryland,1,2022,23,10394318,122,1497,Peers
163912,St. Mary's College of Maryland,1,2023,10,11808807,134,1577,Peers
167288,Massachusetts College of Liberal Arts,1,2012,199,6141771,85,1600,Peers
167288,Massachusetts College of Liberal Arts,1,2013,178,6352184,87,1538,Peers
167288,Massachusetts College of Liberal Arts,1,2014,203,6515774,88,1562,Peers
167288,Massachusetts College of Liberal Arts,1,2015,184,6991948,90,1457,Peers
167288,Massachusetts College of Liberal Arts,1,2016,200,7370182,91,1444,Peers
167288,Massachusetts College of Liberal Arts,1,2017,181,7183561,87,1407,Peers
167288,Massachusetts College of Liberal Arts,1,2018,175,7105086,90,1277,Peers
167288,Massachusetts College of Liberal Arts,1,2019,162,7329855,89,1345,Peers
167288,Massachusetts College of Liberal Arts,1,2020,126,7067655,87,1076,Peers
167288,Massachusetts College of Liberal Arts,1,2021,124,6441374,81,870,Peers
167288,Massachusetts College of Liberal Arts,1,2022,100,6636132,79,838,Peers
167288,Massachusetts College of Liberal Arts,1,2023,97,6652694,79,836,Peers
174251,University of Minnesota-Morris,1,2012,0,7343552,123,1896,Peers
174251,University of Minnesota-Morris,1,2013,0,7632270,128,1946,Peers
174251,University of Minnesota-Morris,1,2014,0,7610724,124,1899,Peers
174251,University of Minnesota-Morris,1,2015,0,8165882,129,1856,Peers
174251,University of Minnesota-Morris,1,2016,0,7897295,123,1771,Peers
174251,University of Minnesota-Morris,1,2017,0,8324759,127,1627,Peers
174251,University of Minnesota-Morris,1,2018,0,8009021,122,1554,Peers
174251,University of Minnesota-Morris,1,2019,0,7951467,118,1499,Peers
174251,University of Minnesota-Morris,1,2020,0,7008119,103,1339,Peers
174251,University of Minnesota-Morris,1,2021,0,6881145,100,1286,Peers
174251,University of Minnesota-Morris,1,2022,0,6922727,99,1068,Peers
174251,University of Minnesota-Morris,1,2023,0,7172626,101,1020,Peers
186201,Ramapo College of New Jersey,1,2012,193,20110811,218,5624,Peers
186201,Ramapo College of New Jersey,1,2013,238,20564495,216,5614,Peers
186201,Ramapo College of New Jersey,1,2014,293,21286181,217,5710,Peers
186201,Ramapo College of New Jersey,1,2015,365,21156367,215,5661,Peers
186201,Ramapo College of New Jersey,1,2016,472,21053331,216,5762,Peers
186201,Ramapo College of New Jersey,1,2017,502,22318233,216,5618,Peers
186201,Ramapo College of New Jersey,1,2018,565,22694065,216,5609,Peers
186201,Ramapo College of New Jersey,1,2019,568,23444478,220,5574,Peers
186201,Ramapo College of New Jersey,1,2020,630,23393573,215,5412,Peers
186201,Ramapo College of New Jersey,1,2021,587,23287034,207,5145,Peers
186201,Ramapo College of New Jersey,1,2022,546,22309454,192,4932,Peers
186201,Ramapo College of New Jersey,1,2023,508,22263129,190,5013,Peers
196167,SUNY College at Geneseo,1,2012,169,18171929,255,5388,Peers
196167,SUNY College at Geneseo,1,2013,140,18157169,253,5504,Peers
196167,SUNY College at Geneseo,1,2014,110,18398600,253,5548,Peers
196167,SUNY College at Geneseo,1,2015,116,18684797,252,5583,Peers
196167,SUNY College at Geneseo,1,2016,90,18517361,252,5512,Peers
196167,SUNY College at Geneseo,1,2017,96,18680425,256,5556,Peers
196167,SUNY College at Geneseo,1,2018,94,19440628,257,5518,Peers
196167,SUNY College at Geneseo,1,2019,104,19300160,252,5294,Peers
196167,SUNY College at Geneseo,1,2020,82,18535114,240,4829,Peers
196167,SUNY College at Geneseo,1,2021,71,17644403,216,4466,Peers
196167,SUNY College at Geneseo,1,2022,74,17189272,211,4110,Peers
196167,SUNY College at Geneseo,1,2023,60,18216433,214,3868,Peers
196219,SUNY at Purchase College,1,2012,112,11609581,160,4128,Peers
196219,SUNY at Purchase College,1,2013,114,11999726,169,4239,Peers
196219,SUNY at Purchase College,1,2014,101,12523156,173,4124,Peers
196219,SUNY at Purchase College,1,2015,92,12836081,177,4077,Peers
196219,SUNY at Purchase College,1,2016,103,12579299,174,4053,Peers
